,Item,Data_do_lancamento,Entradas_Qtd,Entradas_Valor,Saidas_Qtd,Saidas_Valor,Saldo_Inicial_Qtd,Saldo_Inicial_Valor,Saldo_Final_Qtd,Saldo_Final_Valor
106,69.51.202-0,07/08/2012,"0,0","0,0","5,0","1433,6000000000001","295,0","85120,13","290,0","83686,53"
107,70.25.162-0,07/08/2012,"0,0","0,0","6,0","1273,12","280,0","60471,329999999994","274,0","59198,20999999999"
108,71.15.272-3,07/08/2012,"0,0","0,0","2,0","478,81","92,0","22652,519999999997","90,0","22173,709999999995"
109,74.62.201-1,07/08/2012,"0,0","0,0","1,0","1365,02","3,0","4235,309999999999","2,0","2870,2899999999986"
110,76.26.200-4,07/08/2012,"0,0","0,0","21,0","6030,7","184,0","53582,94000000001","163,0","47552,24000000001"
111,77.33.242-1,07/08/2012,"14,0","10815,38","2,0","1553,1","183,0","142465,49","195,0","151727,77"
112,10.01.206-6,07/08/2012,"4894,4609","9710,07","813,6751","1603,87","987,8062000000004","1649,03","5068,592000000001","9755,23"
113,47.05.018-9,07/08/2012,"0,0","0,0","158,0","2078,7200000000003","322,0","4238,389999999999","164,0","2159,669999999999"
114,47.11.014-9,07/08/2012,"0,0","0,0","596,0","424,75","3372,0","16011,65","2776,0","15586,9"
115,JVB-301-01,07/08/2012,"890,0","5392,860000000001","100,0","613,6700000000001","1178,0","7610,030000000001","1968,0","12389,220000000001"
116,41.01.053-3,07/08/2012,"0,0","0,0","56,0","6,7","25970,0","3108,21","25914,0","3101,51"
117,41.02.051-2,07/08/2012,"9000,0","641,17","4731,0","340,4399999999999","85846,0","6439,67","90115,0","6740,400000000001"
118,41.26.232-0,07/08/2012,"0,0","0,0","11,0","212,54","277,0","5457,710000000001","266,0","5245,170000000001"
119,41.67.008-8,07/08/2012,"0,0","0,0","496,0","1656,43","4711,0","15668,02","4215,0","14011,59"
120,81.30.019-4,08/08/2012,"150,0","2102,63","272,0","3812,7799999999997","1536,0","21530,82","1414,0","19820,670000000002"
121,82.10.355-4,08/08/2012,"1728,0","20493,72","921,2539999999999","10750,52","1529,9476999999997","17757,0","2336,6937","27500,2"
122,82.70.372-1,08/08/2012,"6732,0","55146,02","1738,8847","13966,95","25018,1306","200205,93999999997","30011,2459","241385,00999999995"
123,82.53.405-9,08/08/2012,"0,0","0,0","2702,2384","12331,9","19986,7837","90791,91","17284,545299999998","78460,01000000001"
124,82.53.475-0,08/08/2012,"202,335","504,24","2787,1478","6945,839999999999","28007,0424","69306,69999999998","25422,2296","62865,09999999999"
125,82.60.353-0,08/08/2012,"1250,0","8119,18","1522,0","9885,9","4977,0","32218,039999999994","4705,0","30451,319999999992"
126,82.63.660-9,08/08/2012,"2907,1864","30321,32","3188,5206","33255,57","3931,8958000000002","41218,770000000004","3650,561600000001","38284,52"
127,82.81.160-5,08/08/2012,"1171,5","2444,98","2267,3415","4732,110000000001","9405,950700000001","19635,85","8310,1092","17348,719999999998"
